Date,Open,High,Low,Close,Adj Close,Volume
2016-01-19,7.261538,7.282692,7.100000,7.242307,6.729795,14850160
2016-01-20,7.211538,7.211538,6.853846,7.030769,6.533225,14709760
2016-01-21,7.030769,7.282692,6.923076,7.271153,6.756599,6360120
2016-01-22,7.280769,7.473076,7.223076,7.473076,6.944232,6283160
2016-01-26,7.459615,7.459615,7.226923,7.430769,6.904919,8666320
2016-01-27,7.384615,7.576923,7.228846,7.490384,6.960315,8608080
2016-01-28,7.498076,7.669230,7.423076,7.634615,7.094339,8369400
2016-01-29,7.673076,8.088461,7.584615,7.976923,7.412424,20320560
2016-02-01,8.098076,8.146153,7.859615,8.144230,7.567891,13049920
2016-02-02,8.053846,8.225000,8.038461,8.125000,7.550021,19347640
2016-02-03,8.182692,8.355769,8.076923,8.346153,7.755525,7654400
2016-02-04,8.355769,8.500000,8.157692,8.394230,7.800199,10644400
2016-02-05,8.359615,8.446153,8.201923,8.232692,7.650092,7454720
2016-02-10,8.230769,8.498076,8.200000,8.442307,7.844876,5635240
2016-02-11,8.388461,8.421153,8.192307,8.250000,7.666177,9198280
2016-02-12,8.328846,8.357692,8.165384,8.192307,7.612568,8089640
2016-02-15,8.361538,8.363461,8.169230,8.201923,7.621500,3371680
2016-02-16,8.244230,8.561538,8.209615,8.426923,7.830576,7502560
2016-02-17,8.403846,8.653846,8.326923,8.415384,7.819854,9245080
2016-02-18,8.409615,8.596153,8.223076,8.557692,7.952093,6234800
2016-02-19,8.563461,8.778846,8.446153,8.778846,8.157597,4898400
2016-02-22,8.842307,8.938461,8.665384,8.817307,8.193335,7830680
2016-02-23,8.750000,8.867307,8.575000,8.707692,8.091479,6947720
2016-02-24,8.559615,8.742307,8.507692,8.692307,8.077181,6597760
2016-02-25,8.630769,8.650000,8.423076,8.528846,7.925289,8367320
2016-02-26,8.588461,8.703846,8.461538,8.615384,8.005703,6434480
2016-02-29,8.746153,8.911538,8.626923,8.848076,8.221929,8060000
