Sigla da UF,Rede,TX_Apro,Indicador de Rendimento (P),SAEB_M,SAEB_P,Nota Média Padronizada (N),"IDEB
2021
(N x P)"
,,,,,,,
,,,,,,,
SG_UF,REDE,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2021
AM,Estadual,99.4,0.99,248.40,256.30,5.08,5.0
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Estadual,100.0,1.00,248.26,252.51,5.01,5.0
AM,Estadual,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Municipal,100.0,1.00,226.10,235.33,4.36,4.4
AM,Estadual,-,-,-,-,-,-
AM,Municipal,100.0,1.00,198.06,193.44,3.19,3.2
AM,Municipal,-,-,-,-,-,-
AM,Municipal,98.8,0.99,ND,ND,-,-
AM,Estadual,100.0,1.00,285.08,286.40,6.19,6.2
AM,Municipal,99.0,0.99,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Municipal,89.0,0.89,ND,ND,-,-
AM,Municipal,100.0,1.00,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Estadual,98.7,0.99,241.14,244.36,4.76,4.7
AM,Municipal,-,-,-,-,-,-
AM,Municipal,90.9,0.94,217.84,242.24,4.33,4.1
AM,Municipal,100.0,1.00,224.67,227.13,4.20,4.2
AM,Estadual,99.5,0.99,251.91,254.95,5.11,5.1
AM,Estadual,-,-,-,-,-,-
AM,Estadual,95.0,0.95,272.88,253.24,5.44,5.1
AM,Municipal,69.2,0.67,166.42,166.02,2.21,1.5
AM,Municipal,81.5,0.80,ND,ND,-,-
AM,Municipal,-,-,-,-,-,-
AM,Estadual,-,-,-,-,-,-
AM,Municipal,100.0,1.00,234.76,237.29,4.53,4.5
AM,Municipal,93.5,0.95,175.66,213.73,3.16,3.0
AM,Estadual,99.7,1.00,264.67,266.76,5.52,5.5
AM,Municipal,94.5,0.94,230.47,236.95,4.46,4.2
AM,Estadual,94.7,0.94,247.67,250.34,4.97,4.7
AM,Estadual,-,-,-,-,-,-
AM,Municipal,88.7,0.87,ND,ND,-,-
AM,Estadual,92.8,0.92,378.45,289.79,7.80,7.2
AM,Estadual,84.2,0.87,314.29,283.71,6.63,5.7
AM,Municipal,74.1,0.76,256.87,242.40,4.99,3.8
AM,Municipal,77.3,0.76,214.36,196.30,3.51,2.7
AM,Municipal,68.3,0.62,179.56,187.02,2.78,1.7
AM,Municipal,-,-,-,-,-,-
AM,Estadual,90.8,0.92,239.40,240.10,4.66,4.3
AM,Estadual,100.0,1.00,257.81,239.74,4.96,5.0
AM,Estadual,94.8,0.95,222.07,229.97,4.20,4.0
AM,Municipal,90.1,0.89,ND,ND,-,-
